Phi,Theta,FILE
22.5,180,12014466837226060316.h5
22.5,225,4962731440774152697.h5
45,90,2502377160401594443.h5
45,180,8349453105566432855.h5
45,0,5879039393305222815.h5
45,45,16066118363250509864.h5
45,315,11327682012571998908.h5
45,225,2796496347223645926.h5
0,270,8218331254988698538.h5
45,135,16033859734375316210.h5
22.5,270,11886892079256151599.h5
22.5,135,13600228985277511334.h5
0,0,3045426287722198408.h5
22.5,315,11146465019088561423.h5
0,45,5807853720589675893.h5
0,90,8782464581661268980.h5
0,180,2301000502167603867.h5
0,135,1258004710572532363.h5
0,225,3216938859623743597.h5
22.5,90,5362010028112669838.h5
22.5,0,2299682439225420854.h5
22.5,45,7130123380170426435.h5
45,270,1997593326686557883.h5
0,315,1735064560788456626.h5
