time,phi,theta,FILE
0.000000e+00,-180,-90,image/phi_-180/theta_-90/time_0.000000e+00.png
0.000000e+00,-180,-60,image/phi_-180/theta_-60/time_0.000000e+00.png
0.000000e+00,-180,-30,image/phi_-180/theta_-30/time_0.000000e+00.png
0.000000e+00,-180,0,image/phi_-180/theta_0/time_0.000000e+00.png
0.000000e+00,-180,29,image/phi_-180/theta_29/time_0.000000e+00.png
0.000000e+00,-180,60,image/phi_-180/theta_60/time_0.000000e+00.png
0.000000e+00,-180,90,image/phi_-180/theta_90/time_0.000000e+00.png
0.000000e+00,-147,-90,image/phi_-147/theta_-90/time_0.000000e+00.png
0.000000e+00,-147,-60,image/phi_-147/theta_-60/time_0.000000e+00.png
0.000000e+00,-147,-30,image/phi_-147/theta_-30/time_0.000000e+00.png
0.000000e+00,-147,0,image/phi_-147/theta_0/time_0.000000e+00.png
0.000000e+00,-147,29,image/phi_-147/theta_29/time_0.000000e+00.png
0.000000e+00,-147,60,image/phi_-147/theta_60/time_0.000000e+00.png
0.000000e+00,-147,90,image/phi_-147/theta_90/time_0.000000e+00.png
0.000000e+00,-114,-90,image/phi_-114/theta_-90/time_0.000000e+00.png
0.000000e+00,-114,-60,image/phi_-114/theta_-60/time_0.000000e+00.png
0.000000e+00,-114,-30,image/phi_-114/theta_-30/time_0.000000e+00.png
0.000000e+00,-114,0,image/phi_-114/theta_0/time_0.000000e+00.png
0.000000e+00,-114,29,image/phi_-114/theta_29/time_0.000000e+00.png
0.000000e+00,-114,60,image/phi_-114/theta_60/time_0.000000e+00.png
0.000000e+00,-114,90,image/phi_-114/theta_90/time_0.000000e+00.png
0.000000e+00,-81,-90,image/phi_-81/theta_-90/time_0.000000e+00.png
0.000000e+00,-81,-60,image/phi_-81/theta_-60/time_0.000000e+00.png
0.000000e+00,-81,-30,image/phi_-81/theta_-30/time_0.000000e+00.png
0.000000e+00,-81,0,image/phi_-81/theta_0/time_0.000000e+00.png
0.000000e+00,-81,29,image/phi_-81/theta_29/time_0.000000e+00.png
0.000000e+00,-81,60,image/phi_-81/theta_60/time_0.000000e+00.png
0.000000e+00,-81,90,image/phi_-81/theta_90/time_0.000000e+00.png
0.000000e+00,-49,-90,image/phi_-49/theta_-90/time_0.000000e+00.png
0.000000e+00,-49,-60,image/phi_-49/theta_-60/time_0.000000e+00.png
0.000000e+00,-49,-30,image/phi_-49/theta_-30/time_0.000000e+00.png
0.000000e+00,-49,0,image/phi_-49/theta_0/time_0.000000e+00.png
0.000000e+00,-49,29,image/phi_-49/theta_29/time_0.000000e+00.png
0.000000e+00,-49,60,image/phi_-49/theta_60/time_0.000000e+00.png
0.000000e+00,-49,90,image/phi_-49/theta_90/time_0.000000e+00.png
0.000000e+00,-16,-90,image/phi_-16/theta_-90/time_0.000000e+00.png
0.000000e+00,-16,-60,image/phi_-16/theta_-60/time_0.000000e+00.png
0.000000e+00,-16,-30,image/phi_-16/theta_-30/time_0.000000e+00.png
0.000000e+00,-16,0,image/phi_-16/theta_0/time_0.000000e+00.png
0.000000e+00,-16,29,image/phi_-16/theta_29/time_0.000000e+00.png
0.000000e+00,-16,60,image/phi_-16/theta_60/time_0.000000e+00.png
0.000000e+00,-16,90,image/phi_-16/theta_90/time_0.000000e+00.png
0.000000e+00,16,-90,image/phi_16/theta_-90/time_0.000000e+00.png
0.000000e+00,16,-60,image/phi_16/theta_-60/time_0.000000e+00.png
0.000000e+00,16,-30,image/phi_16/theta_-30/time_0.000000e+00.png
0.000000e+00,16,0,image/phi_16/theta_0/time_0.000000e+00.png
0.000000e+00,16,29,image/phi_16/theta_29/time_0.000000e+00.png
0.000000e+00,16,60,image/phi_16/theta_60/time_0.000000e+00.png
0.000000e+00,16,90,image/phi_16/theta_90/time_0.000000e+00.png
0.000000e+00,49,-90,image/phi_49/theta_-90/time_0.000000e+00.png
0.000000e+00,49,-60,image/phi_49/theta_-60/time_0.000000e+00.png
0.000000e+00,49,-30,image/phi_49/theta_-30/time_0.000000e+00.png
0.000000e+00,49,0,image/phi_49/theta_0/time_0.000000e+00.png
0.000000e+00,49,29,image/phi_49/theta_29/time_0.000000e+00.png
0.000000e+00,49,60,image/phi_49/theta_60/time_0.000000e+00.png
0.000000e+00,49,90,image/phi_49/theta_90/time_0.000000e+00.png
0.000000e+00,81,-90,image/phi_81/theta_-90/time_0.000000e+00.png
0.000000e+00,81,-60,image/phi_81/theta_-60/time_0.000000e+00.png
0.000000e+00,81,-30,image/phi_81/theta_-30/time_0.000000e+00.png
0.000000e+00,81,0,image/phi_81/theta_0/time_0.000000e+00.png
0.000000e+00,81,29,image/phi_81/theta_29/time_0.000000e+00.png
0.000000e+00,81,60,image/phi_81/theta_60/time_0.000000e+00.png
0.000000e+00,81,90,image/phi_81/theta_90/time_0.000000e+00.png
0.000000e+00,114,-90,image/phi_114/theta_-90/time_0.000000e+00.png
0.000000e+00,114,-60,image/phi_114/theta_-60/time_0.000000e+00.png
0.000000e+00,114,-30,image/phi_114/theta_-30/time_0.000000e+00.png
0.000000e+00,114,0,image/phi_114/theta_0/time_0.000000e+00.png
0.000000e+00,114,29,image/phi_114/theta_29/time_0.000000e+00.png
0.000000e+00,114,60,image/phi_114/theta_60/time_0.000000e+00.png
0.000000e+00,114,90,image/phi_114/theta_90/time_0.000000e+00.png
0.000000e+00,147,-90,image/phi_147/theta_-90/time_0.000000e+00.png
0.000000e+00,147,-60,image/phi_147/theta_-60/time_0.000000e+00.png
0.000000e+00,147,-30,image/phi_147/theta_-30/time_0.000000e+00.png
0.000000e+00,147,0,image/phi_147/theta_0/time_0.000000e+00.png
0.000000e+00,147,29,image/phi_147/theta_29/time_0.000000e+00.png
0.000000e+00,147,60,image/phi_147/theta_60/time_0.000000e+00.png
0.000000e+00,147,90,image/phi_147/theta_90/time_0.000000e+00.png
0.000000e+00,180,-90,image/phi_180/theta_-90/time_0.000000e+00.png
0.000000e+00,180,-60,image/phi_180/theta_-60/time_0.000000e+00.png
0.000000e+00,180,-30,image/phi_180/theta_-30/time_0.000000e+00.png
0.000000e+00,180,0,image/phi_180/theta_0/time_0.000000e+00.png
0.000000e+00,180,29,image/phi_180/theta_29/time_0.000000e+00.png
0.000000e+00,180,60,image/phi_180/theta_60/time_0.000000e+00.png
0.000000e+00,180,90,image/phi_180/theta_90/time_0.000000e+00.png
